incident_id,year,month,state,location,lat,lon,species,activity,outcome,time
1213,2022,8.0,NSW,coffs harbour,-30.3125,153.1571,White shark,Unmotorised Boating,Uninjured,605
1214,2022,8.0,NSW,"central coast, north avoca",-33.4592,151.4398,Other,Surfing,Injured,700
1215,2022,10.0,VIC,"portland, nuns beach",-38.338,141.6095,Other,Surfing,Injured,
1216,2022,10.0,WA,port headland,-20.157554,118.488911,Bull shark,Spearfishing,Injured,1200
1217,2022,10.0,NSW,"batemans bay, south rosedale beach",-35.8139,150.2258,Other,Swimming,Injured,545
1218,2022,10.0,SA,seacliff beach,-35.0316,152.9774,White shark,Unmotorised Boating,Uninjured,
1219,2022,12.0,NSW,"crescent head, killick creek",-31.1876,152.9782,White shark,Swimming,Injured,1630
1220,2022,12.0,WA,"mandurah, cosies surf break",-32.59094,115.635579,Other,Surfing,Uninjured,700
1221,2023,1.0,QLD,lady musgrave island,-23.90491,152.38786,Other,Spearfishing,Injury,
1222,2023,2.0,WA,"perth, swan river",-32.041418,115.754765,Bull shark,Other: Jetskiing; Swimming,Fatal,
1223,2023,2.0,WA,"mandurah, fourth groin, silver sands",-32.591951,115.637557,Other,Surf Ski,Uninjured,
1224,2023,3.0,WA,cheynes beach,-34.880263,118.402923,White shark,Surf Ski,Uninjured,800
1225,2023,3.0,WA,"karratha, delta Island",-20.441135,115.548026,Other,Wading,Injured,
1226,2023,3.0,WA,yallingup,-33.6463583,115.0339741,Other,Paddleboarding,Uninjured,1500
1227,2023,4.0,WA,"lucys beach, greenough",-28.981214,114.700368,Other,Surfing,Injured,715
1228,2023,4.0,WA,"exmouth, cape range national park",-22.177466,113.858004,Other,Snorkelling,Injured,
1229,2023,4.0,WA,yallingup,-33.637131,115.026302,Other,Swimming,Injured,1045
1230,2023,5.0,SA,"eyre peninsula, walkers rocks",-33.55622,134.85406,Other,Surfing,Fatal,
1231,2023,5.0,NSW,"batemans bay, south broulee",-35.8633,150.1667,Other,Surfing,Uninjured,730
1232,2023,5.0,WA,"geraldton, bluff point",-28.738847,114.616582,Tiger shark,Scuba,Uninjured,1400
